HOG	OG	Gene Tree Parent Clade	AaegyptiLVP_AGWG	Aalbopictus_AalbF5	AdirusWRAIR2	AfunestusAfunGA1	AgambiaePEST	AminimusMINIMUS1	AsinensisChina	AstephensiUCISS2018	CquinquefasciatusJHB2020	LlongipalpisASM
N5.HOG0000000	OG0000000	n8	AAEL027377	LOC134290702, LOC134289888								
N5.HOG0000001	OG0000000	n17		LOC109402759, LOC134291150, LOC134291650, LOC134284864, LOC134284703, LOC134286052								
N5.HOG0000002	OG0000000	n28		LOC134286411, LOC115255503, LOC134289931, LOC134291732, LOC134290251								
N5.HOG0000003	OG0000000	n35		LOC134286552, LOC134285066, LOC134292072, LOC134289666, LOC134286374, LOC134284478, LOC134288461, LOC134290756, LOC134286551, LOC115258035, LOC134290325, LOC134288794, LOC134286585, LOC134288986, LOC134289870, LOC134288788, LOC134286134, LOC134288351								
N5.HOG0000004	OG0000000	n56	AAEL028099	LOC134287243, LOC134288326, LOC134288903, LOC134289839								
N5.HOG0000005	OG0000000	n61		LOC134286840								
N5.HOG0000006	OG0000000	n83		LOC134284524, LOC115259209, LOC134287985, LOC134285168, LOC134284874, LOC134284353, LOC134285603, LOC134286070, LOC134285057, LOC134288518, LOC115255407, LOC134287374, LOC134287773, LOC134289500, LOC134284881, LOC134286476								
N5.HOG0000007	OG0000000	n101		LOC134292199, LOC134290223, LOC134284282, LOC134289799, LOC134284961, LOC134287069, LOC134286496, LOC134289794								
N5.HOG0000008	OG0000000	n110		LOC134288183, LOC134285625, LOC134285738, LOC134291735, LOC134287906, LOC134291387, LOC134291193								
N5.HOG0000009	OG0000000	n122		LOC134290208								
N5.HOG0000010	OG0000000	n140		LOC134286913, LOC134288635, LOC134289602								
N5.HOG0000011	OG0000000	n145		LOC134287998, LOC134291303, LOC134289539, LOC134286319, LOC134290382, LOC134286162, LOC134290381, LOC134291357								
N5.HOG0000012	OG0000000	n154		LOC134290581								
N5.HOG0000013	OG0000000	n164		LOC134291857, LOC134286222, LOC134291820								
N5.HOG0000014	OG0000000	n171		LOC134288760, LOC134288087, LOC134290826, LOC134290892, LOC134287169, LOC134291586, LOC134286669, LOC134289487, LOC134291662, LOC134286605, LOC134284869								
N5.HOG0000015	OG0000000	n204		LOC134291901								
N5.HOG0000016	OG0000000	n206		LOC134291523, LOC134286556, LOC134286167, LOC134286705, LOC134286106, LOC134288312, LOC134285326, LOC134284749, LOC134287324, LOC134285185, LOC134289629, LOC134288804, LOC134290679, LOC134288428, LOC134288670, LOC134287399, LOC134285502, LOC134284421, LOC134287829, LOC134289609, LOC134288514, LOC134284157, LOC134289993, LOC134284462, LOC134288353, LOC134288227								
N5.HOG0000017	OG0000000	n234		LOC134285298, LOC134291997, LOC134290106, LOC134292183, LOC134286694, LOC134284036, LOC134284840								
N5.HOG0000018	OG0000001	n4	AAEL009009	LOC109404300								
N5.HOG0000019	OG0000001	n30	AAEL008994	LOC109399492								
N5.HOG0000020	OG0000001	n36	AAEL008982	LOC115265056								
N5.HOG0000021	OG0000001	n38	AAEL009013	LOC109404277								
N5.HOG0000022	OG0000001	n40	AAEL008969	LOC109404315								
N5.HOG0000023	OG0000001	n43	AAEL015424	LOC109403110								
N5.HOG0000024	OG0000001	n69	AAEL009004	LOC109404321								
N5.HOG0000025	OG0000001	n73	AAEL008989	LOC109403117								
N5.HOG0000026	OG0000001	n74	AAEL029076	LOC109404330								
N5.HOG0000027	OG0000001	n75	AAEL008993	LOC115270372								
