HOG	OG	Gene Tree Parent Clade	AaegyptiLVP_AGWG	Aalbopictus_AalbF5	AdirusWRAIR2	AfunestusAfunGA1	AgambiaePEST	AminimusMINIMUS1	AsinensisChina	AstephensiUCISS2018	CquinquefasciatusJHB2020	LlongipalpisASM
N0.HOG0000000	OG0000000	n1	AAEL027377, AAEL028099	LOC134290702, LOC134289888, LOC109402759, LOC134291150, LOC134291650, LOC134284864, LOC134284703, LOC134286052, LOC134286411, LOC115255503, LOC134289931, LOC134291732, LOC134290251, LOC134286552, LOC134285066, LOC134292072, LOC134289666, LOC134286374, LOC134284478, LOC134288461, LOC134290756, LOC134286551, LOC115258035, LOC134290325, LOC134288794, LOC134286585, LOC134288986, LOC134289870, LOC134288788, LOC134286134, LOC134288351, LOC134287243, LOC134288326, LOC134288903, LOC134289839, LOC134284630, LOC134286840	ADIR014747	AFUN2_007113, AFUN2_002140, AFUN2_014527, AFUN2_009807	AGAP029842			ASTEI20_043005, ASTEI20_036044, ASTEI20_033927, ASTEI20_035586, ASTEI20_043863, ASTEI20_036508, ASTEI20_036954, ASTEI20_045336, ASTEI20_039783, ASTEI20_040467, ASTEI20_036028, ASTEI20_033906, ASTEI20_042456, ASTEI20_033270, ASTEI20_035754, ASTEI20_033053	CQUJHB014876, CQUJHB006110, CQUJHB012282, CQUJHB013622, CQUJHB016039, CQUJHB007707, CQUJHB002677, CQUJHB018190, CQUJHB013695	LOC129794284, LOC129791988
N0.HOG0000001	OG0000000	n76		LOC134284524, LOC115259209, LOC134287985, LOC134285168, LOC134284874, LOC134284353, LOC134285603, LOC134286070, LOC134285057, LOC134288518, LOC115255407, LOC134287374, LOC134287773, LOC134289500, LOC134284881, LOC134286476, LOC134292199, LOC134290223, LOC134284282, LOC134289799, LOC134284961, LOC134287069, LOC134286496, LOC134289794, LOC134288183, LOC134285625, LOC134285738, LOC134291735, LOC134287906, LOC134291387, LOC134291193						ASTEI20_031064, ASTEI20_045897, ASTEI20_040104, ASTEI20_032319, ASTEI20_043567, ASTEI20_031704, ASTEI20_043535	CQUJHB010235, CQUJHB006331, CQUJHB004612, CQUJHB006784, CQUJHB000853, CQUJHB011901	
N0.HOG0000002	OG0000000	n120				AFUN2_009219, AFUN2_005711						
N0.HOG0000003	OG0000000	n122		LOC134290208	ADIR009835	AFUN2_011806, AFUN2_014699, AFUN2_014431				ASTEI20_040733, ASTEI20_035135, ASTEI20_044487, ASTEI20_031519, ASTEI20_044948, ASTEI20_035276, ASTEI20_031497	CQUJHB008409, CQUJHB003477, CQUJHB009777	
N0.HOG0000004	OG0000000	n139		LOC134286913, LOC134288635, LOC134289602, LOC134287998, LOC134291303, LOC134289539, LOC134286319, LOC134290382, LOC134286162, LOC134290381, LOC134291357, LOC134290581							CQUJHB000765, CQUJHB012120, CQUJHB007641, CQUJHB010283, CQUJHB009412	
N0.HOG0000005	OG0000000	n157									CQUJHB014846, CQUJHB012837, CQUJHB001173, CQUJHB006705, CQUJHB015543, CQUJHB017213, CQUJHB017363	
N0.HOG0000006	OG0000000	n164		LOC134291857, LOC134286222, LOC134291820							CQUJHB007171, CQUJHB010481	LOC129788552, LOC129785947, LOC129789206
N0.HOG0000007	OG0000000	n171		LOC134288760, LOC134288087, LOC134290826, LOC134290892, LOC134287169, LOC134291586, LOC134286669, LOC134289487, LOC134291662, LOC134286605, LOC134284869							CQUJHB004515, CQUJHB009739	LOC129792934, LOC129790662, LOC129789212, LOC129791171, LOC129792336, LOC129787411, LOC129793343, LOC129794560, LOC129794445, LOC129789580, LOC129797431, LOC129793267, LOC129789569, LOC129791787, LOC129786951, LOC129792883
N0.HOG0000008	OG0000000	n199		LOC134291901, LOC134291523, LOC134286556, LOC134286167, LOC134286705, LOC134286106, LOC134288312, LOC134285326, LOC134284749, LOC134287324, LOC134285185, LOC134289629, LOC134288804, LOC134290679, LOC134288428, LOC134288670, LOC134287399, LOC134285502, LOC134284421, LOC134287829, LOC134289609, LOC134288514, LOC134284157, LOC134289993, LOC134284462, LOC134288353, LOC134288227							CQUJHB012441, CQUJHB000255, CQUJHB015940, CQUJHB007839, CQUJHB015977, CQUJHB009580, CQUJHB007198, CQUJHB010208, CQUJHB004060	
N0.HOG0000009	OG0000000	n234		LOC134285298, LOC134291997, LOC134290106, LOC134292183, LOC134286694, LOC134284036, LOC134284840		AFUN2_013786						
