HOG	OG	Gene Tree Parent Clade	AaegyptiLVP_AGWG	Aalbopictus_AalbF5	AdirusWRAIR2	AfunestusAfunGA1	AgambiaePEST	AminimusMINIMUS1	AsinensisChina	AstephensiUCISS2018	CquinquefasciatusJHB2020	LlongipalpisASM
N8.HOG0000000	OG0000000	n2				AFUN2_007113, AFUN2_002140, AFUN2_014527, AFUN2_009807						
N8.HOG0000001	OG0000000	n120				AFUN2_009219, AFUN2_005711						
N8.HOG0000002	OG0000000	n128				AFUN2_011806, AFUN2_014699						
N8.HOG0000003	OG0000000	n135				AFUN2_014431						
N8.HOG0000004	OG0000000	n234				AFUN2_013786						
N8.HOG0000005	OG0000001	n12				AFUN2_004122, AFUN2_008007, AFUN2_014393						
N8.HOG0000006	OG0000001	n27				AFUN2_002447		AMIN007636				
N8.HOG0000007	OG0000001	n29				AFUN2_003797						
N8.HOG0000008	OG0000001	n30				AFUN2_012926		AMIN007637				
N8.HOG0000009	OG0000001	n49				AFUN2_004608		AMIN014601				
N8.HOG0000010	OG0000001	n54				AFUN2_010913						
N8.HOG0000011	OG0000001	n162				AFUN2_002897						
N8.HOG0000012	OG0000001	n163				AFUN2_007676						
N8.HOG0000013	OG0000001	n164				AFUN2_003905						
N8.HOG0000014	OG0000001	n165				AFUN2_009709						
N8.HOG0000015	OG0000001	n168				AFUN2_006480						
N8.HOG0000016	OG0000002	n6				AFUN2_014359		AMIN016107				
N8.HOG0000017	OG0000002	n10				AFUN2_014054		AMIN016112				
N8.HOG0000018	OG0000002	n15				AFUN2_008570		AMIN016106				
N8.HOG0000019	OG0000002	n21				AFUN2_013651		AMIN016109				
N8.HOG0000020	OG0000002	n24				AFUN2_013390, AFUN2_014070		AMIN016110, AMIN016108				
N8.HOG0000021	OG0000002	n32				AFUN2_009636		AMIN016111				
N8.HOG0000022	OG0000002	n72				AFUN2_009035		AMIN006066				
N8.HOG0000023	OG0000002	n80				AFUN2_002132						
N8.HOG0000024	OG0000002	n85				AFUN2_005303						
N8.HOG0000025	OG0000002	n91				AFUN2_006796						
N8.HOG0000026	OG0000002	n109				AFUN2_005756		AMIN006068				
N8.HOG0000027	OG0000002	n120				AFUN2_002248						
N8.HOG0000028	OG0000002	n130				AFUN2_003508		AMIN004360				
N8.HOG0000029	OG0000002	n149						AMIN006067				
N8.HOG0000030	OG0000003	n75						AMIN006496				
N8.HOG0000031	OG0000003	n84				AFUN2_013652						
N8.HOG0000032	OG0000003	n127				AFUN2_012891, AFUN2_004364						
N8.HOG0000033	OG0000003	n129				AFUN2_004469						
N8.HOG0000034	OG0000003	n141				AFUN2_009844						
N8.HOG0000035	OG0000004	n68				AFUN2_013636						
N8.HOG0000036	OG0000004	n70				AFUN2_003330						
N8.HOG0000037	OG0000004	n71				AFUN2_008877						
N8.HOG0000038	OG0000004	n72				AFUN2_013113						
N8.HOG0000039	OG0000004	n73				AFUN2_005179						
N8.HOG0000040	OG0000004	n75				AFUN2_007262						
N8.HOG0000041	OG0000004	n76				AFUN2_012616						
N8.HOG0000042	OG0000004	n77				AFUN2_009887						
N8.HOG0000043	OG0000004	n78				AFUN2_009657						
N8.HOG0000044	OG0000005	n29				AFUN2_007230, AFUN2_004842		AMIN005016				
N8.HOG0000045	OG0000005	n38				AFUN2_000892, AFUN2_006367, AFUN2_013793, AFUN2_005075, AFUN2_011723, AFUN2_003443						
N8.HOG0000046	OG0000006	n14						AMIN002115				
N8.HOG0000047	OG0000006	n27				AFUN2_007708, AFUN2_009331		AMIN006479				
N8.HOG0000048	OG0000006	n40				AFUN2_001908, AFUN2_009118, AFUN2_013138						
N8.HOG0000049	OG0000006	n56				AFUN2_004254		AMIN000978				
N8.HOG0000050	OG0000006	n65				AFUN2_010056		AMIN009886				
N8.HOG0000051	OG0000006	n74				AFUN2_009779, AFUN2_004691, AFUN2_012399, AFUN2_001067, AFUN2_005143, AFUN2_006094, AFUN2_004098						
N8.HOG0000052	OG0000006	n82				AFUN2_004010, AFUN2_002941, AFUN2_010235, AFUN2_000888, AFUN2_013493						
N8.HOG0000053	OG0000006	n91				AFUN2_014377, AFUN2_006096, AFUN2_009673, AFUN2_002143, AFUN2_005646						
N8.HOG0000054	OG0000006	n97				AFUN2_012202						
N8.HOG0000055	OG0000006	n100				AFUN2_013718, AFUN2_006489		AMIN005876				
N8.HOG0000056	OG0000006	n106				AFUN2_011586, AFUN2_007334, AFUN2_010102, AFUN2_005018, AFUN2_004255						
N8.HOG0000057	OG0000006	n111				AFUN2_011427		AMIN004546				
N8.HOG0000058	OG0000006	n112				AFUN2_014532		AMIN005875				
N8.HOG0000059	OG0000007	n6						AMIN016007				
N8.HOG0000060	OG0000007	n26				AFUN2_004043, AFUN2_006670						
N8.HOG0000061	OG0000007	n36				AFUN2_001709		AMIN008968				
N8.HOG0000062	OG0000007	n40				AFUN2_014614						
N8.HOG0000063	OG0000007	n46				AFUN2_009778		AMIN005434				
N8.HOG0000064	OG0000007	n53				AFUN2_001920		AMIN008211				
N8.HOG0000065	OG0000007	n67				AFUN2_011937		AMIN009331, AMIN009333, AMIN009332, AMIN009885				
N8.HOG0000066	OG0000007	n85				AFUN2_005862						
N8.HOG0000067	OG0000007	n87				AFUN2_011780						
N8.HOG0000068	OG0000007	n91				AFUN2_012023						
N8.HOG0000069	OG0000007	n97				AFUN2_007690, AFUN2_003406		AMIN008957				
N8.HOG0000070	OG0000007	n103				AFUN2_006859		AMIN016006				
N8.HOG0000071	OG0000007	n111						AMIN008960				
N8.HOG0000072	OG0000007	n116						AMIN008958				
N8.HOG0000073	OG0000007	n117				AFUN2_003170		AMIN008959				
N8.HOG0000074	OG0000008	n1				AFUN2_005813		AMIN005546				
N8.HOG0000075	OG0000008	n65				AFUN2_011626						
N8.HOG0000076	OG0000008	n73				AFUN2_014353, AFUN2_012060		AMIN006880, AMIN006881				
N8.HOG0000077	OG0000008	n85						AMIN006884				
N8.HOG0000078	OG0000008	n87				AFUN2_001736						
N8.HOG0000079	OG0000008	n93				AFUN2_010492						
N8.HOG0000080	OG0000009	n32				AFUN2_002572						
N8.HOG0000081	OG0000009	n72				AFUN2_007461						
N8.HOG0000082	OG0000009	n94				AFUN2_009063						
N8.HOG0000083	OG0000009	n96				AFUN2_011932						
N8.HOG0000084	OG0000009	n102				AFUN2_009447						
N8.HOG0000085	OG0000009	n115				AFUN2_014561						
N8.HOG0000086	OG0000010	n3				AFUN2_008829						
N8.HOG0000087	OG0000010	n10				AFUN2_000320						
N8.HOG0000088	OG0000010	n37				AFUN2_014109		AMIN016052				
N8.HOG0000089	OG0000010	n45				AFUN2_009560		AMIN016057				
N8.HOG0000090	OG0000010	n51						AMIN016054				
N8.HOG0000091	OG0000010	n56				AFUN2_009244		AMIN016053				
N8.HOG0000092	OG0000010	n64				AFUN2_008846						
N8.HOG0000093	OG0000010	n72				AFUN2_008281						
N8.HOG0000094	OG0000010	n88				AFUN2_001353, AFUN2_006534						
N8.HOG0000095	OG0000010	n90				AFUN2_002304, AFUN2_006559, AFUN2_012647						
N8.HOG0000096	OG0000010	n94				AFUN2_010091						
N8.HOG0000097	OG0000011	n2				AFUN2_011181		AMIN001659				
N8.HOG0000098	OG0000011	n12				AFUN2_008927		AMIN004643				
N8.HOG0000099	OG0000011	n17				AFUN2_000890		AMIN001662				
N8.HOG0000100	OG0000011	n67				AFUN2_006226, AFUN2_002927		AMIN009342				
N8.HOG0000101	OG0000011	n78				AFUN2_003622, AFUN2_009821						
N8.HOG0000102	OG0000011	n92				AFUN2_002952						
N8.HOG0000103	OG0000012	n9				AFUN2_005969						
N8.HOG0000104	OG0000012	n13				AFUN2_008516						
N8.HOG0000105	OG0000012	n24				AFUN2_003802						
N8.HOG0000106	OG0000012	n85				AFUN2_008107						
N8.HOG0000107	OG0000012	n93						AMIN015674				
N8.HOG0000108	OG0000012	n94						AMIN015676				
N8.HOG0000109	OG0000013	n35						AMIN003474				
N8.HOG0000110	OG0000013	n36						AMIN003475				
N8.HOG0000111	OG0000013	n38				AFUN2_000667		AMIN003476				
N8.HOG0000112	OG0000013	n52				AFUN2_002726						
N8.HOG0000113	OG0000013	n60				AFUN2_011275						
N8.HOG0000114	OG0000013	n66				AFUN2_004549, AFUN2_003503, AFUN2_006795		AMIN003883				
N8.HOG0000115	OG0000013	n85				AFUN2_014386						
N8.HOG0000116	OG0000014	n3				AFUN2_006975		AMIN009469				
N8.HOG0000117	OG0000014	n49				AFUN2_010356		AMIN011187				
N8.HOG0000118	OG0000014	n63				AFUN2_013192						
N8.HOG0000119	OG0000014	n66				AFUN2_003737						
N8.HOG0000120	OG0000014	n71						AMIN011445				
N8.HOG0000121	OG0000014	n74				AFUN2_003098, AFUN2_013474, AFUN2_002513, AFUN2_008438, AFUN2_003359, AFUN2_004329, AFUN2_005094, AFUN2_012908, AFUN2_008870, AFUN2_007912, AFUN2_012081, AFUN2_012747, AFUN2_001598						
N8.HOG0000122	OG0000014	n89				AFUN2_000713, AFUN2_001431						
N8.HOG0000123	OG0000015	n25				AFUN2_012161		AMIN010186				
N8.HOG0000124	OG0000015	n43				AFUN2_000980		AMIN015544				
N8.HOG0000125	OG0000015	n52				AFUN2_004072		AMIN015543				
N8.HOG0000126	OG0000015	n55				AFUN2_012163		AMIN015541				
N8.HOG0000127	OG0000015	n59				AFUN2_005101		AMIN015542				
N8.HOG0000128	OG0000015	n62				AFUN2_004396		AMIN010826				
N8.HOG0000129	OG0000016	n2				AFUN2_009580		AMIN008109				
N8.HOG0000130	OG0000016	n5				AFUN2_008470						
N8.HOG0000131	OG0000016	n26				AFUN2_011213						
N8.HOG0000132	OG0000016	n31				AFUN2_014654						
N8.HOG0000133	OG0000016	n33				AFUN2_011099						
N8.HOG0000134	OG0000016	n34				AFUN2_013263						
N8.HOG0000135	OG0000016	n36				AFUN2_014351						
N8.HOG0000136	OG0000016	n39				AFUN2_010177						
N8.HOG0000137	OG0000016	n76				AFUN2_004982		AMIN006761				
N8.HOG0000138	OG0000017	n4				AFUN2_003556, AFUN2_007093						
N8.HOG0000139	OG0000017	n16				AFUN2_006574						
N8.HOG0000140	OG0000017	n43				AFUN2_014268						
N8.HOG0000141	OG0000017	n51				AFUN2_008822		AMIN004079				
N8.HOG0000142	OG0000017	n64				AFUN2_002118		AMIN009236				
N8.HOG0000143	OG0000017	n72				AFUN2_005588						
N8.HOG0000144	OG0000017	n73				AFUN2_001925						
N8.HOG0000145	OG0000017	n75				AFUN2_006866						
