HOG	OG	Gene Tree Parent Clade	AaegyptiLVP_AGWG	Aalbopictus_AalbF5	AdirusWRAIR2	AfunestusAfunGA1	AgambiaePEST	AminimusMINIMUS1	AsinensisChina	AstephensiUCISS2018	CquinquefasciatusJHB2020	LlongipalpisASM
N7.HOG0000000	OG0000000	n2				AFUN2_007113, AFUN2_002140, AFUN2_014527, AFUN2_009807						
N7.HOG0000001	OG0000000	n8								ASTEI20_043005, ASTEI20_036044, ASTEI20_033927, ASTEI20_035586		
N7.HOG0000002	OG0000000	n17								ASTEI20_043863, ASTEI20_036508		
N7.HOG0000003	OG0000000	n25								ASTEI20_036954, ASTEI20_045336, ASTEI20_039783		
N7.HOG0000004	OG0000000	n66								ASTEI20_040467, ASTEI20_036028, ASTEI20_033906, ASTEI20_042456, ASTEI20_033270, ASTEI20_035754, ASTEI20_033053		
N7.HOG0000005	OG0000000	n76								ASTEI20_031064, ASTEI20_045897, ASTEI20_040104, ASTEI20_032319, ASTEI20_043567, ASTEI20_031704, ASTEI20_043535		
N7.HOG0000006	OG0000000	n120				AFUN2_009219, AFUN2_005711						
N7.HOG0000007	OG0000000	n128				AFUN2_011806, AFUN2_014699				ASTEI20_040733, ASTEI20_035135, ASTEI20_044487, ASTEI20_031519, ASTEI20_044948		
N7.HOG0000008	OG0000000	n135				AFUN2_014431				ASTEI20_035276		
N7.HOG0000009	OG0000000	n234				AFUN2_013786						
N7.HOG0000010	OG0000001	n12				AFUN2_004122, AFUN2_008007, AFUN2_014393				ASTEI20_043116, ASTEI20_033272, ASTEI20_044305		
N7.HOG0000011	OG0000001	n27				AFUN2_002447		AMIN007636		ASTEI20_045927		
N7.HOG0000012	OG0000001	n29				AFUN2_003797				ASTEI20_033127		
N7.HOG0000013	OG0000001	n30				AFUN2_012926		AMIN007637				
N7.HOG0000014	OG0000001	n49				AFUN2_004608		AMIN014601		ASTEI20_039515		
N7.HOG0000015	OG0000001	n54				AFUN2_010913				ASTEI20_046161		
N7.HOG0000016	OG0000001	n146								ASTEI20_035195		
N7.HOG0000017	OG0000001	n162				AFUN2_002897				ASTEI20_031571		
N7.HOG0000018	OG0000001	n163				AFUN2_007676				ASTEI20_032921		
N7.HOG0000019	OG0000001	n164				AFUN2_003905				ASTEI20_033826		
N7.HOG0000020	OG0000001	n165				AFUN2_009709				ASTEI20_041050, ASTEI20_039571		
N7.HOG0000021	OG0000001	n168				AFUN2_006480						
N7.HOG0000022	OG0000002	n6				AFUN2_014359		AMIN016107		ASTEI20_040013		
N7.HOG0000023	OG0000002	n10				AFUN2_014054		AMIN016112		ASTEI20_036300		
N7.HOG0000024	OG0000002	n15				AFUN2_008570		AMIN016106		ASTEI20_038121		
N7.HOG0000025	OG0000002	n21				AFUN2_013651		AMIN016109		ASTEI20_035875		
N7.HOG0000026	OG0000002	n24				AFUN2_013390, AFUN2_014070		AMIN016110, AMIN016108		ASTEI20_036499		
N7.HOG0000027	OG0000002	n32				AFUN2_009636		AMIN016111		ASTEI20_043191		
N7.HOG0000028	OG0000002	n72				AFUN2_009035		AMIN006066		ASTEI20_032133, ASTEI20_045226		
N7.HOG0000029	OG0000002	n80				AFUN2_002132				ASTEI20_045592, ASTEI20_043030		
N7.HOG0000030	OG0000002	n85				AFUN2_005303				ASTEI20_031161, ASTEI20_041459		
N7.HOG0000031	OG0000002	n91				AFUN2_006796				ASTEI20_036351, ASTEI20_044520, ASTEI20_044382, ASTEI20_040275, ASTEI20_041828		
N7.HOG0000032	OG0000002	n109				AFUN2_005756		AMIN006068		ASTEI20_034857, ASTEI20_036438		
N7.HOG0000033	OG0000002	n120				AFUN2_002248						
N7.HOG0000034	OG0000002	n130				AFUN2_003508		AMIN004360		ASTEI20_036203		
N7.HOG0000035	OG0000002	n149						AMIN006067		ASTEI20_040919		
N7.HOG0000036	OG0000003	n75						AMIN006496				
N7.HOG0000037	OG0000003	n84				AFUN2_013652				ASTEI20_037049		
N7.HOG0000038	OG0000003	n124								ASTEI20_034440		
N7.HOG0000039	OG0000003	n127				AFUN2_012891, AFUN2_004364						
N7.HOG0000040	OG0000003	n129				AFUN2_004469				ASTEI20_032078, ASTEI20_031811		
N7.HOG0000041	OG0000003	n141				AFUN2_009844						
N7.HOG0000042	OG0000004	n68				AFUN2_013636				ASTEI20_032191		
N7.HOG0000043	OG0000004	n70				AFUN2_003330				ASTEI20_034764		
N7.HOG0000044	OG0000004	n71				AFUN2_008877				ASTEI20_045351		
N7.HOG0000045	OG0000004	n72				AFUN2_013113				ASTEI20_043633		
N7.HOG0000046	OG0000004	n73				AFUN2_005179				ASTEI20_042075		
N7.HOG0000047	OG0000004	n75				AFUN2_007262				ASTEI20_041491		
