HOG	OG	Gene Tree Parent Clade	AaegyptiLVP_AGWG	Aalbopictus_AalbF5	AdirusWRAIR2	AfunestusAfunGA1	AgambiaePEST	AminimusMINIMUS1	AsinensisChina	AstephensiUCISS2018	CquinquefasciatusJHB2020	LlongipalpisASM
N2.HOG0000000	OG0000000	n2				AFUN2_007113, AFUN2_002140, AFUN2_014527, AFUN2_009807						
N2.HOG0000001	OG0000000	n8								ASTEI20_043005, ASTEI20_036044, ASTEI20_033927, ASTEI20_035586		
N2.HOG0000002	OG0000000	n17								ASTEI20_043863, ASTEI20_036508		
N2.HOG0000003	OG0000000	n25			ADIR014747					ASTEI20_036954, ASTEI20_045336, ASTEI20_039783		
N2.HOG0000004	OG0000000	n66								ASTEI20_040467, ASTEI20_036028, ASTEI20_033906, ASTEI20_042456, ASTEI20_033270, ASTEI20_035754, ASTEI20_033053		
N2.HOG0000005	OG0000000	n76								ASTEI20_031064, ASTEI20_045897, ASTEI20_040104, ASTEI20_032319, ASTEI20_043567, ASTEI20_031704, ASTEI20_043535		
N2.HOG0000006	OG0000000	n120				AFUN2_009219, AFUN2_005711						
N2.HOG0000007	OG0000000	n122			ADIR009835	AFUN2_011806, AFUN2_014699, AFUN2_014431				ASTEI20_040733, ASTEI20_035135, ASTEI20_044487, ASTEI20_031519, ASTEI20_044948, ASTEI20_035276, ASTEI20_031497		
N2.HOG0000008	OG0000000	n234				AFUN2_013786						
N2.HOG0000009	OG0000001	n4				AFUN2_004122, AFUN2_008007, AFUN2_014393, AFUN2_002447, AFUN2_003797, AFUN2_007348	AGAP006842, AGAP006841, AGAP006840, AGAP006844, AGAP006846, AGAP006845, AGAP006847, AGAP006843	AMIN007636	ASIC013765, ASIC013764	ASTEI20_043116, ASTEI20_033272, ASTEI20_044305, ASTEI20_045927, ASTEI20_033127		
N2.HOG0000010	OG0000001	n30			ADIR004308	AFUN2_012926	AGAP006848	AMIN007637	ASIC013762			
N2.HOG0000011	OG0000001	n49				AFUN2_004608	AGAP006860, AGAP006863	AMIN014601		ASTEI20_039515		
N2.HOG0000012	OG0000001	n54			ADIR014366	AFUN2_010913	AGAP006858, AGAP006859		ASIC013748, ASIC013742, ASIC013743	ASTEI20_046161		
N2.HOG0000013	OG0000001	n135				AFUN2_002897, AFUN2_007676, AFUN2_013608, AFUN2_003905	AGAP006856, AGAP006857, AGAP006862, AGAP006853, AGAP006861, AGAP006854, AGAP006849, AGAP006850, AGAP006852, AGAP006855, AGAP006851		ASIC013758, ASIC013760, ASIC013756, ASIC013755, ASIC013750, ASIC013753, ASIC013746, ASIC013749, ASIC013759, ASIC013761	ASTEI20_035195, ASTEI20_032858, ASTEI20_031571, ASTEI20_032921, ASTEI20_033826, ASTEI20_032698		
N2.HOG0000014	OG0000001	n165				AFUN2_009709			ASIC013744	ASTEI20_041050, ASTEI20_039571		
N2.HOG0000015	OG0000001	n168			ADIR014365, ADIR014363	AFUN2_006480	AGAP006864, AGAP006597		ASIC013740			
N2.HOG0000016	OG0000002	n6				AFUN2_014359	AGAP002868	AMIN016107	ASIC003137	ASTEI20_040013		
N2.HOG0000017	OG0000002	n10				AFUN2_014054	AGAP002869	AMIN016112	ASIC003139	ASTEI20_036300		
